date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions
2013-03-27;1566;279;59;9242;1540.3333333333333;3;13509;4503.0;2;13713;6856.5;416;17;0
2013-03-28;7669;457;2;21210;589.1666666666666;4;70061;17515.25;5;77891;15578.2;464;27;0
2013-03-29;7549;511;5;9984;384.0;2;16102;8051.0;2;18143;9071.5;475;7;0
2013-03-30;7997;157;9;10084;315.125;0;0;0;0;0;0;208;9;0
2013-04-01;6207;463;16;13775;551.0;4;39889;9972.25;5;50452;10090.4;709;26;2
2013-04-02;7719;402;12;16944;498.3529411764706;5;71057;14211.4;5;73472;14694.4;380;21;4
2013-04-03;7908;287;0;11200;509.09090909090907;3;37313;12437.666666666666;3;38127;12709.0;295;31;3
2013-04-04;7619;537;14;16741;620.0370370370371;3;52197;17399.0;1;13122;13122.0;498;19;4
2013-04-05;8337;0;0;8831;267.6060606060606;2;18932;9466.0;0;0;0;52;0;1
2013-04-06;8334;0;0;14413;343.1666666666667;0;0;0;0;0;0;56;2;1
2013-04-07;8267;4;0;9759;361.44444444444446;3;20081;6693.666666666667;2;18424;9212.0;57;3;1
2013-04-08;8066;118;0;12362;353.2;4;87625;21906.25;5;65227;13045.4;127;14;1
2013-04-09;7984;257;4;26807;992.8518518518518;2;13972;6986.0;2;15110;7555.0;296;25;4
2013-04-10;8079;133;4;9044;334.962962962963;3;29276;9758.666666666666;4;40612;10153.0;191;37;2
2013-04-11;8161;93;1;10498;456.4347826086956;3;23034;7678.0;4;31353;7838.25;115;8;1
2013-04-12;7885;320;23;29782;620.4583333333334;5;56450;11290.0;5;67513;13502.6;288;45;2
2013-04-13;7978;117;8;17919;511.9714285714286;2;27504;13752.0;1;7238;7238.0;186;15;2
2013-04-14;8160;109;5;16230;377.4418604651163;2;43906;21953.0;0;0;0;208;19;2
2013-04-15;4616;0;0;6039;549.0;0;0;0;0;0;0;48;4;1
2013-04-20;6250;0;0;4628;220.38095238095238;2;23739;11869.5;0;0;0;43;5;1
2013-04-21;8336;0;0;6021;250.875;3;41908;13969.333333333334;4;54688;13672.0;55;7;1
2013-04-22;8064;29;0;5606;311.44444444444446;4;31114;7778.5;4;33919;8479.75;48;7;1
2013-04-23;8161;102;8;11728;586.4;4;39863;9965.75;1;12980;12980.0;160;34;2
2013-04-24;8053;181;4;3177;158.85;2;17955;8977.5;3;53130;17710.0;173;13;3
2013-04-25;7629;379;2;15996;551.5862068965517;6;80978;13496.333333333334;5;77185;15437.0;636;89;3
2013-04-26;8271;48;0;13860;420.0;0;0;0;0;0;0;190;26;1
2013-04-27;7595;565;11;4782;298.875;2;40655;20327.5;4;57572;14393.0;960;38;3
2013-04-28;7959;221;1;12754;425.1333333333333;4;27061;6765.25;2;25391;12695.5;268;24;2
2013-04-29;7376;216;1;6716;319.8095238095238;3;38360;12786.666666666666;4;56067;14016.75;308;30;2
2013-04-30;7802;341;13;7432;297.28;0;0;0;1;14153;14153.0;443;70;4
2013-05-01;5638;204;28;4428;316.2857142857143;0;0;0;0;0;0;350;46;3
2013-05-04;1593;4;0;3722;372.2;2;14007;7003.5;2;26735;13367.5;31;2;1
2013-05-05;7993;252;64;9880;658.6666666666666;2;11164;5582.0;1;6428;6428.0;307;9;3
2013-05-06;8001;87;90;4699;335.64285714285717;3;57679;19226.333333333332;1;6818;6818.0;220;6;2
2013-05-07;8066;172;3;14165;590.2083333333334;0;0;0;0;0;0;325;29;2
2013-05-08;7656;159;13;6610;388.8235294117647;0;0;0;0;0;0;275;7;2
2013-05-10;2180;0;0;1530;218.57142857142858;1;29948;29948.0;0;0;0;36;5;1
2013-05-11;8068;189;5;6929;769.8888888888889;2;14349;7174.5;2;12834;6417.0;216;7;3
2013-05-12;4791;67;0;70;70.0;0;0;0;0;0;0;83;5;2
2013-05-13;6726;1;0;887;147.83333333333334;1;11591;11591.0;1;9959;9959.0;41;5;1
2013-05-14;8209;27;0;5418;774.0;6;83947;13991.166666666666;5;88386;17677.2;48;7;1
2013-05-15;7063;240;17;7416;618.0;4;33864;8466.0;2;30821;15410.5;346;31;3
2013-05-16;8250;68;0;2905;223.46153846153845;1;33646;33646.0;0;0;0;139;7;2
2013-05-17;7782;139;0;9674;1382.0;2;35017;17508.5;1;20876;20876.0;305;29;3
2013-05-18;7343;139;0;17868;558.375;0;0;0;0;0;0;173;5;2
2013-05-19;489;60;0;1593;796.5;2;11156;5578.0;1;7284;7284.0;64;8;2
2013-05-20;8097;146;0;7166;275.61538461538464;4;78130;19532.5;1;8726;8726.0;218;27;3
2013-05-21;8171;4;0;6957;347.85;0;0;0;0;0;0;40;8;1
2013-05-22;1010;0;0;0;0;0;0;0;0;0;0;28;5;1
2013-04-19;0;0;0;0;0;0;0;0;0;0;0;6;24;1
