date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions;mood;stress
2013-03-28 00;12;0;0;2305;768.3333333333334;0;0;0;0;0;0;17;2;1;0;0
2013-03-29 05;131;0;0;0;0;1;24105;24105.0;1;24235;24235.0;24;2;1;0;0
2013-03-29 06;177;0;0;0;0;0;0;0;0;0;0;17;2;1;0;0
2013-03-29 07;175;0;0;0;0;0;0;0;0;0;0;23;1;1;0;0
2013-03-29 08;175;0;0;0;0;0;0;0;0;0;0;21;1;1;0;0
2013-03-29 09;180;0;0;0;0;0;0;0;0;0;0;22;1;1;0;0
2013-03-29 10;179;0;0;0;0;0;0;0;0;0;0;21;1;1;0;0
2013-03-29 11;178;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0
2013-03-29 12;173;0;0;0;0;1;4555;4555.0;0;0;0;22;0;1;0;0
2013-03-29 13;160;0;0;0;0;0;0;0;0;0;0;20;0;1;0;0
2013-03-29 14;133;41;0;0;0;1;4519;4519.0;1;4459;4459.0;68;1;2;0;0
2013-03-29 15;175;0;0;1484;247.33333333333334;0;0;0;0;0;0;14;8;1;0;0
2013-03-29 16;99;128;0;131;131.0;0;0;0;0;0;0;141;1;2;0;0
2013-03-29 17;158;17;0;0;0;1;4443;4443.0;1;4439;4439.0;31;8;1;0;0
2013-03-29 18;150;37;0;0;0;1;11836;11836.0;1;11535;11535.0;36;9;1;0;0
2013-03-29 19;159;3;0;121;121.0;0;0;0;0;0;0;3;2;1;0;0
2013-03-29 20;169;0;0;203;101.5;0;0;0;0;0;0;8;1;1;0;0
2013-03-29 21;164;20;0;0;0;0;0;0;0;0;0;32;1;1;0;0
2013-03-29 22;155;35;0;1709;854.5;1;4913;4913.0;1;4910;4910.0;40;1;1;0;0
2013-03-29 23;155;51;0;1911;1911.0;0;0;0;0;0;0;52;1;2;0;0
2013-03-30 00;172;0;0;223;111.5;1;6209;6209.0;1;11081;11081.0;10;0;1;0;0
2013-03-30 01;175;0;0;2244;1122.0;0;0;0;0;0;0;5;1;1;0;0
2013-03-30 02;184;0;0;2700;2700.0;0;0;0;0;0;0;6;2;1;0;0
2013-03-30 03;163;8;0;0;0;1;15522;15522.0;1;15578;15578.0;18;2;1;0;0
2013-03-30 04;145;47;0;91;91.0;0;0;0;0;0;0;65;2;2;0;0
2013-03-30 05;155;44;0;2376;475.2;0;0;0;0;0;0;52;1;2;0;0
2013-03-30 06;177;1;0;2548;424.6666666666667;0;0;0;0;0;0;11;0;1;0;0
2013-03-30 07;145;11;0;859;429.5;1;18953;18953.0;1;15739;15739.0;19;2;1;0;0
2013-03-30 08;167;0;0;0;0;0;0;0;0;0;0;23;1;1;0;0
2013-03-30 09;165;0;0;0;0;0;0;0;0;0;0;27;0;1;0;0
2013-03-30 10;162;0;0;0;0;0;0;0;0;0;0;24;0;1;0;0
2013-03-30 11;164;0;0;0;0;0;0;0;0;0;0;24;1;1;0;0
2013-03-30 12;162;0;0;0;0;1;13816;13816.0;0;0;0;22;1;1;0;0
2013-03-30 13;158;0;0;0;0;0;0;0;0;0;0;18;0;1;0;0
2013-03-30 14;158;0;0;0;0;0;0;0;0;0;0;17;0;1;0;0
